VECTOR,OCCURRENCE_ID,SOURCE_TYPE,LOCATION_TYPE,POLYGON_ADMIN,Y,X,YEAR,COUNTRY,COUNTRY_ID,GAUL_AD0,STATUS
Aedes aegypti,2023,published,point,-999,10.13,-3.45,1999,Burkina Faso,BFA,42,NA
Aedes aegypti,2034,published,point,-999,12.55,-12.18,1999,Senegal,SEN,217,NA
Aedes aegypti,2035,published,point,-999,12.56,-12.17,1999,Senegal,SEN,217,NA
Aedes aegypti,2041,published,point,-999,15.28,-14.28,1999,Senegal,SEN,217,NA
Aedes aegypti,2196,published,point,-999,7.69,-5.03,2000,C™te d'Ivoire,CIV,66,NA
Aedes aegypti,2197,published,point,-999,9.07,-1.81,2000,Ghana,GHA,94,NA
Aedes aegypti,2199,published,point,-999,10.53,-2.7,2000,Ghana,GHA,94,NA
Aedes aegypti,2205,published,point,-999,10.79,-0.85,2000,Ghana,GHA,94,NA
Aedes aegypti,2208,published,point,-999,10.87,-1.98,2000,Ghana,GHA,94,NA
Aedes aegypti,2210,published,point,-999,12.53,-12.31,2000,Senegal,SEN,217,NA
Aedes aegypti,2216,published,point,-999,14.41,-12.9,2000,Senegal,SEN,217,NA
Aedes aegypti,2373,published,point,-999,5.34,-4.02,2001,C™te d'Ivoire,CIV,66,NA
Aedes aegypti,2374,published,point,-999,5.83,-5.66,2001,C™te d'Ivoire,CIV,66,NA
Aedes aegypti,2375,published,point,-999,5.83,-5.36,2001,C™te d'Ivoire,CIV,66,NA
Aedes aegypti,2376,published,point,-999,6.31,-5.93,2001,C™te d'Ivoire,CIV,66,NA
Aedes aegypti,2377,published,point,-999,6.48,-6.28,2001,C™te d'Ivoire,CIV,66,NA
Aedes aegypti,2378,published,point,-999,6.54,-7.48,2001,C™te d'Ivoire,CIV,66,NA
Aedes aegypti,2379,published,point,-999,6.66,-7.25,2001,C™te d'Ivoire,CIV,66,NA
Aedes aegypti,2380,published,point,-999,6.87,-6.45,2001,C™te d'Ivoire,CIV,66,NA
Aedes aegypti,2381,published,point,-999,6.91,-8.2,2001,C™te d'Ivoire,CIV,66,NA
