VECTOR,OCCURRENCE_ID,SOURCE_TYPE,LOCATION_TYPE,POLYGON_ADMIN,Y,X,YEAR,COUNTRY,COUNTRY_ID,GAUL_AD0,STATUS
Aedes aegypti,4539,published,point,-999,3.84,11.5,2009,Cameroon,CMR,45,NA
Aedes albopictus,41265,published,point,-999,3.84,11.5,2009,Cameroon,CMR,45,NA
Aedes albopictus,41266,published,point,-999,3.9,11.5,2009,Cameroon,CMR,45,NA
Aedes aegypti,,"Diagne, C. T., Faye, O., Guerbois, M., Knight, R., Diallo, D., Faye, O., ... & Diallo, M. (2014). Vector competence of Aedes aegypti and Aedes vittatus (Diptera: Culicidae) from Senegal and Cape Verde archipelago for West African lineages of chikungunya virus. The American journal of tropical medicine and hygiene, 91(3), 635-641.",point,-999,14.92,-23.5,2009,Cape Verde,,,NEW
Aedes aegypti,,"Diagne, C. T., Faye, O., Guerbois, M., Knight, R., Diallo, D., Faye, O., ... & Diallo, M. (2014). Vector competence of Aedes aegypti and Aedes vittatus (Diptera: Culicidae) from Senegal and Cape Verde archipelago for West African lineages of chikungunya virus. The American journal of tropical medicine and hygiene, 91(3), 635-641.",point,-999,12.591408,-12.23,2009,Senegal,SEN,,NEW
Aedes aegypti,4611,published,point,-999,14.75,-17.45,2009,Senegal,SEN,217,NA
Aedes aegypti,4835,published,point,-999,5.27,-4.01,2010,C™te d'Ivoire,CIV,66,NA
Aedes albopictus,41150,published,point,-999,5.27,-4.01,2010,C™te d'Ivoire,CIV,66,NA
Aedes aegypti,4811,published,point,-999,-0.5,13.1,2010,Gabon,GAB,89,NA
Aedes albopictus,41218,published,Less than 100km,Less than 100km,0.39,9.45,2010,Gabon,GAB,89,NA
Aedes albopictus,41310,published,point,-999,-0.5,13.1,2010,Gabon,GAB,89,NA
Aedes albopictus,,"Müller, G. C., Tsabari, O., Traore, M. M., Traore, S. F., Doumbia, S., Kravchenko, V. D., ... & Beier, J. C. (2016). First record of Aedes albopictus in inland Africa along the River Niger in Bamako and Mopti, Mali. Acta tropica, 162, 245-247.",point,-999,14.47,-4.2,2010,Mali,,,NEW
Aedes aegypti,,"Ebenezer, A., Ben, HIB, Enaregha, E.B., Atial distribution and indoor-resting density of mosquito species in the lowland rainforest of Bayelsa state, Nigeria, International Journal of Tropical Medicine, 2013",,,4.522,6.306,2010,Nigeria,,,NEW
Aedes aegypti,,"Ebenezer, A., Ben, HIB, Enaregha, E.B., Atial distribution and indoor-resting density of mosquito species in the lowland rainforest of Bayelsa state, Nigeria, International Journal of Tropical Medicine, 2013",,,4.9272,5.741,2010,Nigeria,,,NEW
Aedes aegypti,,"Ebenezer, A., Ben, HIB, Enaregha, E.B., Atial distribution and indoor-resting density of mosquito species in the lowland rainforest of Bayelsa state, Nigeria, International Journal of Tropical Medicine, 2013",,,4.6374,5.9525,2010,Nigeria,,,NEW
Aedes aegypti,,"Ebenezer, A., Ben, HIB, Enaregha, E.B., Atial distribution and indoor-resting density of mosquito species in the lowland rainforest of Bayelsa state, Nigeria, International Journal of Tropical Medicine, 2013",,,4.767,6.334,2010,Nigeria,,,NEW
Aedes aegypti,,"Ebenezer, A., Ben, HIB, Enaregha, E.B., Atial distribution and indoor-resting density of mosquito species in the lowland rainforest of Bayelsa state, Nigeria, International Journal of Tropical Medicine, 2013",,,9.605,3.941,2010,Nigeria,,,NEW
Aedes aegypti,,"Ebenezer, A., Ben, HIB, Enaregha, E.B., Atial distribution and indoor-resting density of mosquito species in the lowland rainforest of Bayelsa state, Nigeria, International Journal of Tropical Medicine, 2013",,,5.158,6.197,2010,Nigeria,,,NEW
Aedes aegypti,,"Ebenezer, A., Ben, HIB, Enaregha, E.B., Atial distribution and indoor-resting density of mosquito species in the lowland rainforest of Bayelsa state, Nigeria, International Journal of Tropical Medicine, 2013",,,4.9186,6.2804,2010,Nigeria,,,NEW
Aedes aegypti,,"Diagne, C. T., Faye, O., Guerbois, M., Knight, R., Diallo, D., Faye, O., ... & Diallo, M. (2014). Vector competence of Aedes aegypti and Aedes vittatus (Diptera: Culicidae) from Senegal and Cape Verde archipelago for West African lineages of chikungunya virus. The American journal of tropical medicine and hygiene, 91(3), 635-641.",point,-999,14.65,-17.43,2010,Senegal,SEN,,NEW
Aedes aegypti,4858,published,Less than 100km,Less than 100km,12.6,-12.24,2010,Senegal,SEN,217,NA
Aedes aegypti,4860,published,Less than 100km,Less than 100km,12.62,-12.24,2010,Senegal,SEN,217,NA
Aedes aegypti,4863,published,Less than 100km,Less than 100km,12.66,-12.26,2010,Senegal,SEN,217,NA
Aedes aegypti,4864,published,Less than 100km,Less than 100km,12.67,-12.28,2010,Senegal,SEN,217,NA
Aedes aegypti,4874,published,point,-999,14.18,-12.72,2010,Senegal,SEN,217,NA
Aedes aegypti,4877,published,point,-999,14.34,-16.41,2010,Senegal,SEN,217,NA
Aedes aegypti,4881,published,point,-999,14.72,-17.27,2010,Senegal,SEN,217,NA
Aedes aegypti,4885,published,point,-999,14.92,-16.99,2010,Senegal,SEN,217,NA
Aedes aegypti,4893,published,point,-999,16.47,-15.68,2010,Senegal,SEN,217,NA
Aedes aegypti,,"Faye, O., Ba, Y., Faye, O., Talla, C., Diallo, D., Chen, R., ... & Weaver, S. C. (2014). Urban epidemic of dengue virus serotype 3 infection, Senegal, 2009. Emerging infectious diseases, 20(3), 456.",point,-999,15.63,-16.23,2010,Senegal,SEN,,NEW
Aedes albopictus,,"Agwu, E. J., Igbinosa, I. B., & Isaac, C. (2016). Entomological assessment of yellow fever-epidemic risk indices in Benue State, Nigeria, 2010–2011. Acta tropica, 161, 18-25.",point,-999,6.78,8.45,2011,Nigeria,NGA,,NEW
Aedes albopictus,,"Agwu, E. J., Igbinosa, I. B., & Isaac, C. (2016). Entomological assessment of yellow fever-epidemic risk indices in Benue State, Nigeria, 2010–2011. Acta tropica, 161, 18-25.",point,-999,7.19,8.14,2011,Nigeria,NGA,,NEW
Aedes albopictus,,"Agwu, E. J., Igbinosa, I. B., & Isaac, C. (2016). Entomological assessment of yellow fever-epidemic risk indices in Benue State, Nigeria, 2010–2011. Acta tropica, 161, 18-25.",point,-999,7.29,8.41,2011,Nigeria,NGA,,NEW
Aedes aegypti,,"Agwu, E. J., Igbinosa, I. B., & Isaac, C. (2016). Entomological assessment of yellow fever-epidemic risk indices in Benue State, Nigeria, 2010–2011. Acta tropica, 161, 18-25.",point,-999,6.92,8.38,2011,Nigeria,NGA,,NEW
Aedes aegypti,,"Agwu, E. J., Igbinosa, I. B., & Isaac, C. (2016). Entomological assessment of yellow fever-epidemic risk indices in Benue State, Nigeria, 2010–2011. Acta tropica, 161, 18-25.",point,-999,6.78,8.45,2011,Nigeria,NGA,,NEW
Aedes aegypti,,"Agwu, E. J., Igbinosa, I. B., & Isaac, C. (2016). Entomological assessment of yellow fever-epidemic risk indices in Benue State, Nigeria, 2010–2011. Acta tropica, 161, 18-25.",point,-999,7.19,8.14,2011,Nigeria,NGA,,NEW
Aedes aegypti,,"Agwu, E. J., Igbinosa, I. B., & Isaac, C. (2016). Entomological assessment of yellow fever-epidemic risk indices in Benue State, Nigeria, 2010–2011. Acta tropica, 161, 18-25.",point,-999,,,2011,Nigeria,NGA,,NEW
Aedes aegypti,5007,published,Less than 25km,Less than 25km,7.77,4.57,2011,Nigeria,NGA,182,NA
Aedes albopictus,41127,published,Less than 25km,Less than 25km,7.77,4.57,2011,Nigeria,NGA,182,NA
Aedes aegypti,5009,published,point,-999,12.56,-12.19,2011,Senegal,SEN,217,NA
Aedes aegypti,5010,published,point,-999,12.61,-12.25,2011,Senegal,SEN,217,NA
Aedes aegypti,5011,published,point,-999,12.8,-16.23,2011,Senegal,SEN,217,NA
Aedes aegypti,,"Guindo-Coulibaly, N., Diakite, N. R., Adja, A. M., Coulibaly, J. T., Bassa, K. F., Konan, Y. L., & N'Goran, K. E. (2018). Biology of two larval morphological phenotypes of Aedes aegypti in Abidjan, Côte d'Ivoire. Bulletin of entomological research, 108(4), 540-546.",point,-999,5.3,-4.01,2012,C™te d'Ivoire,CIV,,NEW
